CLAC1_NM,CLAC2_NM,CLAC3_NM,PD_BRA_NM,PD_BUY_AM,PD_BUY_CT,PD_SALES,F_10,F_20,F_30,F_40,F_50,F_60,F_70,F_80,M_10,M_20,M_30,M_40,M_50,M_60,M_70,M_80,NOT_SIGNED,Desktop,Mobile,Busan,Chungbuk,Chungnam,Daegu,Daejeon,Gangwon,Gwangju,Gyeonggi,Gyeongbu,Gyeongnam,Incheon,Jeju,Jeonbuk,Jeonnam,Seoul,Ulsan
남성의류,남성의류상의,남성가디건,시리즈,141677,99,14026023,0.0,0.0,11.0,7.0,3.0,1.0,0.0,0.0,0.0,4.0,26.0,24.0,2.0,1.0,0.0,0.0,19.0,19.0,39.5,11.0,1.0,2.0,7.0,2.0,0.0,4.0,19.0,4.0,5.0,3.0,1.0,2.0,0.0,37.0,0.0
남성의류,남성의류상의,남성가디건,써스데이아일랜드,122614,484,59345176,0.0,13.0,108.0,189.0,46.0,2.0,0.0,0.0,0.0,2.0,10.0,11.0,4.0,2.0,0.0,0.0,96.0,86.0,198.5,44.0,7.0,7.0,25.0,16.0,6.0,25.0,98.0,26.0,19.0,24.0,3.0,13.0,8.0,158.0,4.0
남성의류,남성의류상의,남성가디건,에피그램,221200,6,1327200,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,1.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.0,0.0
남성의류,남성의류상의,남성가디건,요지야마모토,301000,2,602000,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0
남성의류,남성의류상의,남성가디건,커스텀멜로우,121480,10,1214800,0.0,0.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6.0,0.0,0.0,0.0,0.0,1.0,1.0,9.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,1.0,0.0,0.0,0.0,0.0,0.0,4.0,0.0
남성의류,남성의류상의,남성가디건,킨록,46368,19,880992,0.0,0.0,4.0,4.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,5.0,0.0,0.0,0.0,0.0,5.0,5.0,14.0,3.0,0.0,0.0,2.0,0.0,1.0,1.0,5.0,1.0,0.0,0.0,0.0,1.0,1.0,4.0,0.0
남성의류,남성의류상의,남성가디건,타미힐피거,133259,240,31982160,0.0,17.0,67.0,58.0,7.0,0.0,1.0,0.0,0.0,10.0,19.0,13.0,5.0,0.0,1.0,0.0,42.0,39.0,100.5,18.0,2.0,6.0,10.0,10.0,5.0,2.0,56.0,9.0,4.0,18.0,3.0,6.0,1.0,82.0,8.0
남성의류,남성의류상의,남성가디건,톰브라운,995118,17,16917006,0.0,1.0,2.0,1.0,0.0,0.0,0.0,0.0,0.0,3.0,7.0,2.0,1.0,0.0,0.0,0.0,0.0,0.0,17.0,4.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,0.0,0.0,2.0,0.0,8.0,0.0
남성의류,남성의류상의,남성가디건,프레드페리,193785,53,10270605,2.0,3.0,15.0,4.0,1.0,0.0,0.0,0.0,0.0,3.0,6.0,5.0,0.0,0.0,0.0,0.0,14.0,12.0,41.0,6.0,0.0,1.0,2.0,2.0,0.0,1.0,11.0,0.0,4.0,1.0,1.0,1.0,0.0,23.0,0.0
남성의류,남성의류상의,남성가디건,플랙진,76800,10,768000,0.0,0.0,2.0,3.0,0.0,0.0,0.0,0.0,0.0,1.0,2.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,10.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,5.0,1.0
남성의류,남성의류상의,남성가디건,헨리코튼,154081,37,5700997,0.0,4.0,5.0,7.0,1.0,0.0,0.0,0.0,0.0,1.0,8.0,4.0,1.0,0.0,0.0,0.0,6.0,4.0,33.0,4.0,0.0,0.0,1.0,0.0,0.0,0.0,6.0,2.0,4.0,1.0,0.0,2.0,0.0,17.0,0.0
남성의류,남성의류상의,남성남방셔츠,갤럭시,77398,17,1315766,0.0,0.0,3.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,3.0,1.0,0.0,0.0,0.0,9.0,9.0,8.0,0.0,3.0,0.0,0.0,0.0,0.0,0.0,2.0,2.0,0.0,1.0,0.0,2.0,0.0,7.0,0.0
남성의류,남성의류상의,남성남방셔츠,닥스,62982,1514,95354748,0.0,80.0,316.0,365.0,102.0,18.0,0.0,0.0,0.0,3.0,47.0,83.0,36.0,7.0,1.0,0.0,444.0,417.0,542.5,163.0,36.0,48.0,76.0,42.0,17.0,46.0,223.0,66.0,107.0,55.0,14.0,78.0,41.0,470.0,20.0
남성의류,남성의류상의,남성남방셔츠,라코스테,129377,425,54985225,0.0,27.0,110.0,68.0,25.0,2.0,0.0,0.0,0.0,18.0,63.0,31.0,3.0,0.0,0.0,0.0,78.0,74.0,175.5,57.0,15.0,11.0,9.0,19.0,8.0,8.0,58.0,14.0,8.0,8.0,14.0,21.0,12.0,159.0,4.0
남성의류,남성의류상의,남성남방셔츠,레노마,42402,4,169608,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,2.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,2.0,0.0,0.0
남성의류,남성의류상의,남성남방셔츠,루이까또즈,53522,23,1231006,0.0,1.0,1.0,4.0,4.0,0.0,0.0,0.0,0.0,1.0,5.0,4.0,0.0,0.0,0.0,0.0,3.0,2.0,21.0,0.0,1.0,0.0,1.0,0.0,3.0,0.0,2.0,4.0,2.0,0.0,0.0,0.0,0.0,10.0,0.0
남성의류,남성의류상의,남성남방셔츠,마에스트로,42600,2,85200,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,1.0,1.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
남성의류,남성의류상의,남성남방셔츠,버버리,317000,2,634000,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
남성의류,남성의류상의,남성남방셔츠,본,27263,19,517997,0.0,0.0,1.0,2.0,1.0,0.0,0.0,0.0,0.0,0.0,7.0,3.0,0.0,0.0,0.0,0.0,5.0,5.0,14.0,0.0,2.0,0.0,0.0,2.0,0.0,3.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,9.0,2.0
남성의류,남성의류상의,남성남방셔츠,빈폴,109987,3066,337220142,0.0,122.0,819.0,639.0,80.0,15.0,1.0,0.0,0.0,56.0,324.0,249.0,77.0,6.0,2.0,0.0,658.0,592.0,1228.0,347.0,45.0,108.0,125.0,73.0,46.0,136.0,465.0,107.0,156.0,120.0,23.0,160.0,80.0,994.0,63.0
남성의류,남성의류상의,남성남방셔츠,샌프란시스코마켓,143880,5,719400,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,2.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,4.0,0.0
남성의류,남성의류상의,남성남방셔츠,슈퍼콤마비,84167,3,252501,0.0,0.0,2.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0
남성의류,남성의류상의,남성남방셔츠,시리즈,112996,55,6214780,0.0,0.0,11.0,4.0,0.0,1.0,0.0,0.0,0.0,1.0,17.0,5.0,2.0,0.0,0.0,0.0,14.0,14.0,20.5,5.0,0.0,0.0,6.0,1.0,1.0,4.0,4.0,1.0,5.0,2.0,0.0,1.0,1.0,23.0,1.0
남성의류,남성의류상의,남성남방셔츠,써스데이아일랜드,77106,995,76720470,0.0,40.0,225.0,374.0,107.0,5.0,0.0,0.0,0.0,0.0,7.0,28.0,15.0,0.0,0.0,0.0,190.0,180.0,405.5,139.0,14.0,20.0,44.0,13.0,18.0,45.0,209.0,36.0,48.0,38.0,6.0,48.0,28.0,269.0,16.0
남성의류,남성의류상의,남성남방셔츠,에피그램,161727,22,3557994,0.0,0.0,7.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,6.0,1.0,0.0,0.0,0.0,0.0,6.0,2.0,20.0,5.0,0.0,2.0,0.0,1.0,0.0,0.0,0.0,3.0,0.0,4.0,0.0,0.0,0.0,7.0,0.0
남성의류,남성의류상의,남성남방셔츠,캘빈클라인,88300,1,88300,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
남성의류,남성의류상의,남성남방셔츠,커스텀멜로우,91403,156,14258868,0.0,11.0,19.0,12.0,1.0,0.0,0.0,0.0,0.0,14.0,40.0,6.0,3.0,0.0,0.0,0.0,50.0,43.0,56.5,18.0,0.0,8.0,5.0,4.0,0.0,5.0,22.0,8.0,3.0,8.0,0.0,7.0,2.0,64.0,2.0
남성의류,남성의류상의,남성남방셔츠,킨록,42333,9,380997,0.0,0.0,1.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,3.0,0.0,0.0,0.0,0.0,1.0,1.0,8.0,0.0,0.0,0.0,0.0,1.0,2.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,2.0,3.0,0.0
남성의류,남성의류상의,남성남방셔츠,타미힐피거,84702,1014,85887828,1.0,26.0,268.0,213.0,25.0,5.0,0.0,0.0,0.0,24.0,134.0,104.0,6.0,1.0,5.0,0.0,184.0,173.0,411.5,96.0,14.0,17.0,46.0,45.0,20.0,30.0,147.0,33.0,42.0,33.0,9.0,43.0,22.0,379.0,20.0
남성의류,남성의류상의,남성남방셔츠,헤지스,151320,5,756600,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,3.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,3.0,0.0
남성의류,남성의류상의,남성남방셔츠,헨리코튼,95989,319,30620491,0.0,3.0,62.0,34.0,10.0,1.0,0.0,0.0,0.0,4.0,53.0,44.0,16.0,2.0,0.0,0.0,90.0,81.0,119.0,44.0,3.0,3.0,23.0,4.0,2.0,6.0,49.0,14.0,28.0,7.0,3.0,9.0,7.0,116.0,1.0
남성의류,남성의류상의,남성베스트,게스,70825,32,2266400,0.0,2.0,11.0,15.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,3.0,3.0,29.0,2.0,2.0,0.0,3.0,0.0,0.0,1.0,3.0,3.0,1.0,3.0,0.0,5.0,2.0,7.0,0.0
남성의류,남성의류상의,남성베스트,내셔널지오그래픽,53850,80,4308000,5.0,8.0,11.0,18.0,1.0,0.0,0.0,0.0,0.0,6.0,13.0,11.0,2.0,0.0,0.0,0.0,5.0,4.0,38.0,11.0,5.0,5.0,3.0,2.0,4.0,0.0,15.0,2.0,1.0,1.0,1.0,3.0,3.0,22.0,2.0
남성의류,남성의류상의,남성베스트,라코스테,236726,106,25092956,0.0,21.0,29.0,13.0,1.0,1.0,0.0,0.0,0.0,8.0,15.0,3.0,0.0,0.0,0.0,0.0,15.0,14.0,92.0,19.0,7.0,5.0,0.0,3.0,1.0,2.0,19.0,3.0,9.0,3.0,1.0,5.0,1.0,27.0,1.0
남성의류,남성의류상의,남성베스트,마에스트로,94367,3,283101,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,3.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
남성의류,남성의류상의,남성베스트,빈폴,134950,35,4723250,0.0,6.0,6.0,12.0,0.0,1.0,0.0,0.0,0.0,0.0,3.0,1.0,0.0,0.0,0.0,0.0,6.0,6.0,29.0,3.0,1.0,1.0,4.0,0.0,1.0,2.0,9.0,1.0,1.0,3.0,0.0,1.0,0.0,8.0,0.0
남성의류,남성의류상의,남성베스트,샌프란시스코마켓,390500,2,781000,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
남성의류,남성의류상의,남성베스트,시리즈,76668,28,2146704,0.0,1.0,4.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,8.0,5.0,4.0,0.0,0.0,0.0,4.0,3.0,25.0,3.0,0.0,0.0,1.0,1.0,0.0,2.0,5.0,1.0,1.0,0.0,0.0,1.0,1.0,12.0,0.0
남성의류,남성의류상의,남성베스트,써스데이아일랜드,123830,121,14983430,0.0,3.0,30.0,62.0,6.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,0.0,0.0,0.0,17.0,15.0,106.0,14.0,3.0,4.0,7.0,0.0,0.0,3.0,22.0,6.0,15.0,1.0,0.0,4.0,6.0,35.0,1.0
남성의류,남성의류상의,남성베스트,에피그램,83400,4,333600,0.0,0.0,0.0,0.0,0.0,0.0,3.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,0.0
남성의류,남성의류상의,남성베스트,커스텀멜로우,85300,2,170600,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
남성의류,남성의류상의,남성베스트,킨록,81011,9,729099,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,3.0,2.0,0.0,0.0,0.0,0.0,1.0,1.0,8.0,2.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.0,0.0
남성의류,남성의류상의,남성베스트,타미힐피거,71760,7,502320,0.0,0.0,2.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,7.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,2.0,0.0,0.0,0.0,2.0,0.0
남성의류,남성의류상의,남성베스트,톰보이,149500,2,299000,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0
남성의류,남성의류상의,남성베스트,헤지스,99422,4,397688,0.0,0.0,1.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0
남성의류,남성의류상의,남성베스트,헨리코튼,91957,14,1287398,0.0,0.0,0.0,4.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,4.0,3.0,0.0,0.0,0.0,1.0,1.0,13.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,2.0,0.0,0.0,2.0,0.0,7.0,1.0
남성의류,남성의류상의,남성스웨터/풀오버,갤럭시,124483,7,871381,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.0,1.0,0.0,0.0,0.0,1.0,1.0,6.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,3.0,0.0,0.0,0.0,3.0,0.0
남성의류,남성의류상의,남성스웨터/풀오버,게스,42073,113,4754249,1.0,8.0,18.0,52.0,8.0,1.0,0.0,0.0,0.0,0.0,4.0,4.0,0.0,0.0,0.0,0.0,17.0,17.0,96.0,5.0,2.0,3.0,2.0,2.0,1.0,0.0,16.0,3.0,4.0,10.0,1.0,5.0,0.0,57.0,2.0
남성의류,남성의류상의,남성스웨터/풀오버,골든구스,123000,1,123000,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0
남성의류,남성의류상의,남성스웨터/풀오버,디젤,123488,4,493952,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,4.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0
남성의류,남성의류상의,남성스웨터/풀오버,라코스테,201119,37,7441403,0.0,8.0,11.0,6.0,1.0,0.0,0.0,0.0,0.0,2.0,2.0,2.0,0.0,0.0,0.0,0.0,5.0,5.0,32.0,3.0,3.0,0.0,2.0,0.0,2.0,1.0,6.0,2.0,1.0,1.0,0.0,0.0,0.0,16.0,0.0
남성의류,남성의류상의,남성스웨터/풀오버,마에스트로,83917,3,251751,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,2.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0
남성의류,남성의류상의,남성스웨터/풀오버,본,28163,19,535097,0.0,0.0,2.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,5.0,5.0,0.0,0.0,0.0,0.0,5.0,5.0,14.0,2.0,0.0,0.0,2.0,0.0,0.0,1.0,3.0,0.0,1.0,0.0,0.0,0.0,3.0,7.0,0.0
남성의류,남성의류상의,남성스웨터/풀오버,빈폴,145953,131,19119843,0.0,7.0,24.0,18.0,4.0,1.0,0.0,0.0,0.0,5.0,14.0,18.0,7.0,0.0,0.0,0.0,33.0,31.0,100.0,8.0,1.0,9.0,9.0,1.0,1.0,5.0,21.0,4.0,3.0,4.0,3.0,8.0,4.0,49.0,1.0
남성의류,남성의류상의,남성스웨터/풀오버,시리즈,107157,127,13608939,0.0,1.0,19.0,7.0,0.0,0.0,0.0,0.0,0.0,3.0,38.0,19.0,3.0,0.0,0.0,0.0,37.0,36.0,91.0,14.0,3.0,4.0,8.0,4.0,2.0,6.0,14.0,7.0,6.0,0.0,0.0,4.0,5.0,50.0,0.0
남성의류,남성의류상의,남성스웨터/풀오버,써스데이아일랜드,48043,488,23444984,0.0,7.0,105.0,205.0,47.0,1.0,1.0,0.0,0.0,0.0,2.0,19.0,3.0,1.0,0.0,0.0,96.0,89.0,398.0,48.0,12.0,12.0,22.0,4.0,13.0,17.0,103.0,17.0,27.0,19.0,5.0,28.0,20.0,137.0,3.0
남성의류,남성의류상의,남성스웨터/풀오버,에피그램,147133,6,882798,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,1.0,0.0,0.0,0.0,0.0,2.0,2.0,4.0,1.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,0.0
남성의류,남성의류상의,남성스웨터/풀오버,커스텀멜로우,61300,8,490400,0.0,0.0,3.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,4.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,8.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,1.0,0.0,2.0,1.0
남성의류,남성의류상의,남성스웨터/풀오버,킨록,39741,54,2146014,0.0,6.0,7.0,6.0,0.0,0.0,0.0,0.0,0.0,1.0,8.0,11.0,1.0,1.0,0.0,0.0,13.0,12.0,42.0,2.0,0.0,1.0,5.0,2.0,1.0,3.0,11.0,0.0,1.0,1.0,1.0,1.0,2.0,23.0,0.0
남성의류,남성의류상의,남성스웨터/풀오버,타미힐피거,104462,114,11908668,0.0,10.0,20.0,20.0,6.0,0.0,0.0,0.0,0.0,10.0,12.0,7.0,0.0,0.0,0.0,0.0,29.0,27.0,87.0,13.0,0.0,3.0,3.0,3.0,0.0,7.0,17.0,4.0,1.0,5.0,0.0,6.0,3.0,48.0,1.0
남성의류,남성의류상의,남성스웨터/풀오버,톰브라운,1163000,1,1163000,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
남성의류,남성의류상의,남성스웨터/풀오버,폴로랄프로렌,98000,1,98000,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
남성의류,남성의류상의,남성스웨터/풀오버,프라다,243000,1,243000,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
남성의류,남성의류상의,남성스웨터/풀오버,프레드페리,152887,39,5962593,0.0,7.0,10.0,1.0,0.0,0.0,0.0,0.0,0.0,3.0,4.0,1.0,0.0,0.0,0.0,0.0,13.0,12.0,27.0,4.0,0.0,2.0,0.0,1.0,1.0,0.0,6.0,2.0,1.0,1.0,0.0,0.0,0.0,21.0,0.0
남성의류,남성의류상의,남성스웨터/풀오버,플랙진,69000,1,69000,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
